PROV_,DEPTO_,COD_2010,eph_codagl,eph_aglome
02,004,020041206,32,CABA
02,004,020041207,32,CABA
02,004,020041208,32,CABA
02,004,020041209,32,CABA
02,004,020041210,32,CABA
02,004,020041211,32,CABA
02,004,020041212,32,CABA
02,004,020041301,32,CABA
02,004,020041302,32,CABA
02,004,020041303,32,CABA
02,004,020041304,32,CABA
02,004,020041305,32,CABA
02,004,020041306,32,CABA
02,004,020041307,32,CABA
02,004,020041308,32,CABA
02,004,020041309,32,CABA
02,004,020041310,32,CABA
02,004,020041311,32,CABA
02,004,020041401,32,CABA
02,004,020041402,32,CABA
02,004,020041403,32,CABA
02,004,020041404,32,CABA
02,004,020041405,32,CABA
02,004,020041406,32,CABA
02,004,020041407,32,CABA
02,004,020041408,32,CABA
02,004,020041409,32,CABA
02,004,020041501,32,CABA
02,004,020041502,32,CABA
02,004,020041503,32,CABA
02,004,020041504,32,CABA
02,004,020041505,32,CABA
02,004,020041506,32,CABA
02,004,020041507,32,CABA
02,004,020041508,32,CABA
02,004,020041509,32,CABA
02,004,020041510,32,CABA
02,004,020041601,32,CABA
02,004,020041602,32,CABA
02,004,020041603,32,CABA
02,004,020041604,32,CABA
02,004,020041605,32,CABA
02,004,020041606,32,CABA
02,004,020041607,32,CABA
02,004,020041608,32,CABA
02,004,020041609,32,CABA
02,004,020041610,32,CABA
02,004,020041701,32,CABA
02,004,020041702,32,CABA
02,004,020041703,32,CABA
02,004,020041704,32,CABA
02,004,020041705,32,CABA
02,004,020041706,32,CABA
02,004,020041707,32,CABA
02,004,020041708,32,CABA
02,004,020041709,32,CABA
02,004,020041710,32,CABA
02,004,020041801,32,CABA
02,004,020041901,32,CABA
02,004,020041902,32,CABA
02,004,020041903,32,CABA
02,004,020041904,32,CABA
02,004,020041905,32,CABA
02,004,020041906,32,CABA
02,004,020041907,32,CABA
02,004,020041908,32,CABA
02,004,020041909,32,CABA
02,004,020041910,32,CABA
02,004,020042001,32,CABA
02,004,020042002,32,CABA
02,004,020042003,32,CABA
02,004,020042004,32,CABA
02,004,020042005,32,CABA
02,004,020042006,32,CABA
02,004,020042007,32,CABA
02,004,020042008,32,CABA
02,004,020042009,32,CABA
02,004,020042010,32,CABA
02,004,020042011,32,CABA
02,004,020042012,32,CABA
02,004,020042101,32,CABA
